question,filed,choice1,choice2,choice3,choice4,answer,title,url
数値を2進数で表すレジスタがある。このレジスタに格納されている正の整数xを10倍する操作はどれか。ここで，桁あふれは，起こらないものとする。,離散数学,xを2ビット左にシフトした値にxを加算し，更に1ビット左にシフトする。,xを2ビット左にシフトした値にxを加算し，更に2ビット左にシフトする。,xを3ビット左にシフトした値と，xを2ビット左にシフトした値を加算する。,xを3ビット左にシフトした値にxを加算し，更に1ビット左にシフトする。,1,基本情報技術者平成29年秋期 午前問1,https://www.fe-siken.com/kakomon/29_aki/q1.html
送信側では，ビット列をある生成多項式で割った余りをそのビット列に付加して送信し，受信側では，受信したビット列が同じ生成多項式で割り切れるか否かで誤りの発生を判断する誤り検査方式はどれか。,通信に関する理論,CRC方式,垂直パリティチェック方式,水平パリティチェック方式,ハミング符号方式,1,基本情報技術者平成29年秋期 午前問2,https://www.fe-siken.com/kakomon/29_aki/q2.html
フィードバック制御の説明として，適切なものはどれか。,計測・制御に関する理論,あらかじめ定められた順序で制御を行う。,外乱の影響が出力に現れる前に制御を行う。,出力結果と目標値とを比較して，一致するように制御を行う。,出力結果を使用せず制御を行う。,3,基本情報技術者平成29年秋期 午前問3,https://www.fe-siken.com/kakomon/29_aki/q3.html
A，B，C，Dの順に到着するデータに対して，一つのスタックだけを用いて出力可能なデータ列はどれか。,データ構造,A，D，B，C,B，D，A，C,C，B，D，A,D，C，A，B,3,基本情報技術者平成29年秋期 午前問5,https://www.fe-siken.com/kakomon/29_aki/q5.html
再帰呼出しの説明はどれか。,プログラミング,あらかじめ決められた順番ではなく，起きた事象に応じた処理を行うこと,関数の中で自分自身を用いた処理を行うこと,処理が終了した関数をメモリから消去せず，必要になったとき再び用いること,処理に失敗したときに，その処理を呼び出す直前の状態に戻すこと,2,基本情報技術者平成29年秋期 午前問6,https://www.fe-siken.com/kakomon/29_aki/q6.html
オブジェクト指向プログラミングにおける，多相性を実現するためのオーバーライドの説明はどれか。,プログラミング,オブジェクト内の詳細な仕様や構造を外部から隠蔽すること,スーパークラスで定義されたメソッドをサブクラスで再定義すること,同一クラス内に，メソッド名が同一で，引数の型，個数，並び順が異なる複数のメソッドを定義すること,複数のクラスの共通する性質をまとめて，抽象化したクラスを作ること,2,基本情報技術者平成29年秋期 午前問7,https://www.fe-siken.com/kakomon/29_aki/q7.html
Perlの実行に関する記述のうち，適切なものはどれか。,プログラム言語,UNIX用として開発されており，Windows用の言語処理系はない。,実行にWebサーバを必要とする言語であり，CGIの開発に適している。,動的デバッグは，言語処理系から独立したプログラムを実行して行う。,プログラムをコンパイルしたファイルを事前に用意する必要はない。,4,基本情報技術者平成29年秋期 午前問8,https://www.fe-siken.com/kakomon/29_aki/q8.html
平均命令実行時間が20ナノ秒のコンピュータがある。このコンピュータの性能は何MIPSか。,プロセッサ,5,10,20,50,4,基本情報技術者平成29年秋期 午前問9,https://www.fe-siken.com/kakomon/29_aki/q9.html
外部割込みに分類されるものはどれか。,プロセッサ,インターバルタイマによって，指定時間経過時に生じる割込み,演算結果のオーバフローやゼロによる除算で生じる割込み,仮想記憶管理において，存在しないページへのアクセスによって生じる割込み,ソフトウェア割込み命令の実行によって生じる割込み,1,基本情報技術者平成29年秋期 午前問10,https://www.fe-siken.com/kakomon/29_aki/q10.html
RAID5の記録方式に関する記述のうち，適切なものはどれか。,システムの構成,複数の磁気ディスクに分散してバイト単位でデータを書き込み，さらに，1台の磁気ディスクにパリティを書き込む。,複数の磁気ディスクに分散してビット単位でデータを書き込み，さらに，複数の磁気ディスクにエラー訂正符号(ECC)を書き込む。,複数の磁気ディスクに分散してブロック単位でデータを書き込み，さらに，複数の磁気ディスクに分散してパリティを書き込む。,ミラーディスクを構成するために，磁気ディスク2台に同じ内容を書き込む。,3,基本情報技術者平成29年秋期 午前問12,https://www.fe-siken.com/kakomon/29_aki/q12.html
デュアルシステムの説明として，最も適切なものはどれか。,システムの構成,同じ処理を行うシステムを二重に用意し，処理結果を照合することで処理の正しさを確認する。どちらかのシステムに障害が発生した場合は，縮退運転によって処理を継続する。,オンライン処理を行う現用系と，バッチ処理などを行いながら待機させる待機系を用意し，現用系に障害が発生した場合は待機系に切り替え，オンライン処理を続行する。,待機系に現用系のオンライン処理プログラムをロードして待機させておき，現用系に障害が発生した場合は，即時に待機系に切り替えて処理を続行する。,プロセッサ，メモリ，チャネル，電源系などを二重に用意しておき，それぞれの装置で片方に障害が発生した場合でも，処理を継続する。,1,基本情報技術者平成29年秋期 午前問13,https://www.fe-siken.com/kakomon/29_aki/q13.html
社内業務システムをクラウドサービスへ移行することによって得られるメリットはどれか。,システムの構成,PaaSを利用すると，プラットフォームの管理やOSのアップデートは，サービスを提供するプロバイダが行うので，導入や運用の負担を軽減することができる。,オンプレミスで運用していた社内固有の機能を有する社内業務システムをSaaSで提供されるシステムヘ移行する場合，社内固有の機能の移行も容易である。,社内業務システムの開発や評価で一時的に使う場合，SaaSを利用することによって自由度の高い開発環境が整えられる。,非常に高い可用性が求められる社内業務システムをIaaSに移行する場合，いずれのプロバイダも高可用性を保証しているので移行が容易である。,1,基本情報技術者平成29年秋期 午前問14,https://www.fe-siken.com/kakomon/29_aki/q14.html
MTBFが45時間でMTTRが5時間の装置がある。この装置を二つ直列に接続したシステムの稼働率は幾らか。,システムの評価指標,0.81,0.90,0.95,0.99,1,基本情報技術者平成29年秋期 午前問15,https://www.fe-siken.com/kakomon/29_aki/q15.html
