question,filed,choice1,choice2,choice3,choice4,answer,title,url
8ビットの値の全ビットを反転する操作はどれか。,離散数学,16進表記 00 のビット列と排他的論理和をとる。,16進表記 00 のビット列と論理和をとる。,16進表記 FF のビット列と排他的論理和をとる。,16進表記 FF のビット列と論理和をとる。,3,基本情報技術者令和元年秋期 午前問2,https://www.fe-siken.com/kakomon/01_aki/q2.html
"Random(n)は，0以上n未満の整数を一様な確率で返す関数である。整数型の変数A，B及びCに対して次の一連の手続を実行したとき，Cの値が0になる確率はどれか。

A＝Random(10)

B＝Random(10)

C＝A−B",応用数学,1／100,1／20,1／10,1／5,3,基本情報技術者令和元年秋期 午前問6,https://www.fe-siken.com/kakomon/01_aki/q6.html
"次のBNFで定義される＜変数名＞に合致するものはどれか。
＜数字＞::＝ 0｜1｜2｜3｜4｜5｜6｜7｜8｜9
＜英字＞::＝ A｜B｜C｜D｜E｜F
＜英数字＞::＝＜英字＞｜＜数字＞｜_
＜変数名＞::＝＜英字＞｜＜変数名＞＜英数字＞",情報に関する理論,_B39,246,3E5,F5_1,4,基本情報技術者令和元年秋期 午前問7,https://www.fe-siken.com/kakomon/01_aki/q7.html
A，C，K，S，Tの順に文字が入力される。スタックを利用して，S，T，A，C，Kという順に文字を出力するために，最小限必要となるスタックは何個か。ここで，どのスタックにおいてもポップ操作が実行されたときには必ず文字を出力する。また，スタック間の文字の移動は行わない。,データ構造,1,2,3,4,3,基本情報技術者令和元年秋期 午前問8,https://www.fe-siken.com/kakomon/01_aki/q8.html
配列Aが図2の状態のとき，図1の流れ図を実行すると，配列Bが図3の状態になった。図1のaに入れるべき操作はどれか。ここで，配列A，Bの要素をそれぞれ A(i，j)，B(i，j) とする。,アルゴリズム,B(7−i，7−j) ← A(i，j),B(7−j，i) ← A(i，j),B(i，7−j) ← A(i，j),B(j，7−i) ← A(i，j),4,基本情報技術者令和元年秋期 午前問9,https://www.fe-siken.com/kakomon/01_aki/q9.html
10進法で5桁のa1a2a3a4a5をハッシュ法を用いて配列に格納したい。ハッシュ関数を mod(a1＋a2＋a3＋a4＋a5，13) とし，求めたハッシュ値に対応する位置の配列要素に格納する場合，54321は次の配列のどの位置に入るか。ここで，mod(x，13) は，xを13で割った余りとする。,データ構造,1,2,7,11,2,基本情報技術者令和元年秋期 午前問10,https://www.fe-siken.com/kakomon/01_aki/q10.html
"自然数nに対して，次のように再帰的に定義される関数f(n)を考える。f(5)の値はどれか。
f(n)：if n≦1 then return 1 else return n＋f(n−1)",アルゴリズム,6,9,15,25,3,基本情報技術者令和元年秋期 午前問11,https://www.fe-siken.com/kakomon/01_aki/q11.html
1GHzのクロックで動作するCPUがある。このCPUは，機械語の1命令を平均0.8クロックで実行できることが分かっている。このCPUは1秒間に平均何万命令を実行できるか。,プロセッサ,125,250,"80,000","125,000",4,基本情報技術者令和元年秋期 午前問12,https://www.fe-siken.com/kakomon/01_aki/q12.html
メイン処理，及び表に示す二つの割込みA，Bの処理があり，多重割込みが許可されている。割込みA，Bが図のタイミングで発生するとき，0ミリ秒から5ミリ秒までの間にメイン処理が利用できるCPU時間は何ミリ秒か。ここで，割込み処理の呼出し及び復帰に伴うオーバヘッドは無視できるものとする。,プロセッサ,2,2.5,3.5,5,1,基本情報技術者令和元年秋期 午前問13,https://www.fe-siken.com/kakomon/01_aki/q13.html
次に示す接続のうち，デイジーチェーン接続と呼ばれる接続方法はどれか。,入出力デバイス,PCと計測機器とをRS-232Cで接続し，PCとプリンタとをUSBを用いて接続する。,Thunderbolt接続コネクタが2口ある4kディスプレイ2台を，PCのThunderbolt接続ポートから1台目のディスプレイにケーブルで接続し，さらに，1台目のディスプレイと2台目のディスプレイとの間をケーブルで接続する。,キーボード，マウス，プリンタをUSBハブにつなぎ，USBハブとPCとを接続する。,数台のネットワークカメラ及びPCをネットワークハブに接続する。,2,基本情報技術者令和元年秋期 午前問14,https://www.fe-siken.com/kakomon/01_aki/q14.html
RAIDの分類において，ミラーリングを用いることで信頼性を高め，障害発生時には冗長ディスクを用いてデータ復元を行う方式はどれか。,システムの構成,RAID1,RAID2,RAID3,RAID4,1,基本情報技術者令和元年秋期 午前問15,https://www.fe-siken.com/kakomon/01_aki/q15.html
